start,n_obs,alpha,beta,eg_pvalue,adf_pvalue,half_life_days
2015-01-01,2893,-2.6546179471174973,0.9747221592231907,4.507102287867764e-05,5.568621669380753e-06,4.1069125462056455
2018-01-01,2136,-4.628539153840315,0.9993339310135685,0.000268561785181655,3.784189357233415e-05,3.4273175604739654
2022-01-01,1128,-2.128093238414152,0.9745132505618808,0.008669072985352796,0.0017153235372025263,7.889961180697019
2023-01-01,877,-0.18963661731692127,0.9495283807558741,0.019189876793704132,0.004382173515880807,8.59967584754433
