,value
config_window,126
config_min_periods,
config_entry_z,1.5
config_exit_z,0.5
config_lag_rolling_stats,True
sample_start,2018-05-04
sample_end,2026-06-30
n_sessions,2052
n_scored_sessions,1926
n_entries,23
n_long_entries,11
n_short_entries,12
n_exits,23
pct_time_in_market,0.2928849902534113
mean_abs_entry_zscore,3.4864475096731744
final_target_position,0
