,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
baseline (no overlay),2014-12-31,2026-06-30,2894,85191.61140104191,74344.42627322914,0.576728960413277,0.05021966068560671,0.19028400814141982,0.30240078387533637,0.26391950209648335,-0.41451186954742314,0.12115373376506224,67,0.9104477611940298,15.746268656716419,11.668279198341397,0.3645473393227367,2.0,0.5
vol-targeted,2014-12-31,2026-06-30,2894,52214.903788600415,32237.647532543444,0.2500844498992173,0.02177653122826633,0.24939004275950932,0.14140187683896344,0.08731916874991588,-0.662385157845697,0.032875934749339884,67,0.9104477611940298,15.746268656716419,22.172514467178086,0.3645473393227367,2.0,0.5
drawdown-gated,2014-12-31,2026-06-30,2894,31244.297312351748,23322.897970296683,0.1809280315218161,0.015754617810469128,0.1524375049922367,0.1384500138648001,0.1033513229652471,-0.41451186954742314,0.03800763975147565,67,0.9104477611940298,15.746268656716419,8.620594333102972,0.3645473393227367,2.0,0.5
vol-targeted + drawdown-gated,2014-12-31,2026-06-30,2894,-7543.045046099789,-21128.891254225586,-0.16390796322713247,-0.01427256625198251,0.24112418930152477,-0.021130380609502834,-0.05919176459784683,-0.662385157845697,-0.021547231369739284,67,0.9104477611940298,15.746268656716419,15.441223961342299,0.3645473393227367,2.0,0.5
