,value
leg_y,CL
leg_x,BZ
alpha,-2.6545712978976894
beta,0.9747216920484187
alpha_se,0.19608859180298516
beta_se,0.0028072835790181835
r_squared,0.9765731247381648
n_obs,2894
sample_start,2014-12-31
sample_end,2026-06-30
eg_pvalue,4.362186497385634e-05
adf_pvalue,5.376750133925594e-06
half_life_days,4.106928454391605
spread_std,2.735255767201381
