,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
baseline_default,2014-12-31,2026-06-30,2894,85191.61140104191,74344.42627322914,0.576728960413277,0.05021966068560671,0.19028400814141982,0.30240078387533637,0.26391950209648335,-0.41451186954742314,0.12115373376506224,67,0.9104477611940298,15.746268656716419,11.668279198341397,0.3645473393227367,2.0,0.5
best_insample,2014-12-31,2026-06-30,2894,108530.50063487684,90064.42480823971,0.69867728750743,0.060838519852063705,0.19224255007414792,0.3813508849811971,0.31646750331078266,-0.3861564651375343,0.1575488832755793,116,0.8793103448275862,16.0,20.1147201105736,0.6413268832066344,2.0,0.5
walkforward_oos,2017-01-03,2026-06-30,2387,79759.210875171,64024.24169501586,0.49666984069942527,0.05243435268381029,0.21088851772165298,0.3097442192015928,0.24863540817815996,-0.44255542490804567,0.1184808720731536,97,0.8247422680412371,15.175257731958762,20.164222873900293,0.6166736489317135,2.0,0.5
baseline_default_capped,2014-12-31,2026-06-30,2894,85191.61140104191,119384.97313633666,0.9261322589650518,0.08064455053876747,0.1398331890483337,0.30240078387533637,0.5767196692545751,-0.10406819238284182,0.7749202584599105,67,0.9253731343283582,15.746268656716419,11.668279198341397,0.3645473393227367,2.0,0.5
