fold_id,train_start,train_end,test_start,test_end,n_train_sessions,n_test_sessions,selected_entry_z,selected_exit_z,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
0,2014-12-31,2017-01-01,2017-01-03,2017-12-29,507,251,0.75,0.5,2017-01-03,2017-12-29,251,939.8216453316404,-409.45302587413926,-0.0031763432685941164,-0.0031889980226522605,0.029307081020031902,0.24994867535927523,-0.10881322573450848,-0.03223035420859943,-0.09894393347378723,11,0.8181818181818182,16.363636363636363,20.0796812749004,0.7171314741035857,2.0,0.5
1,2014-12-31,2018-01-01,2018-01-02,2018-12-31,758,252,0.75,0.5,2018-01-02,2018-12-31,252,2627.8104311568027,1066.75169879066,0.008275356056976836,0.008275356056976836,0.050978564442831505,0.40020024960509903,0.16233011163460687,-0.03952933120036317,0.2093472316804795,9,0.6666666666666666,18.0,17.0,0.6428571428571429,2.0,0.5
2,2014-12-31,2019-01-01,2019-01-02,2019-12-31,1010,252,1.0,0.75,2019-01-02,2019-12-31,252,2808.3067736234498,1781.265988639323,0.013818220589556297,0.013818220589556297,0.03223905495156047,0.6754289890265555,0.4286174210229897,-0.03390501804069712,0.4075567980223431,8,0.75,13.125,16.0,0.4166666666666667,2.0,0.5
3,2014-12-31,2020-01-01,2020-01-02,2020-12-31,1262,251,0.75,0.5,2020-01-02,2020-12-31,251,3344.949269691966,2577.3469723896173,0.019993841025118295,0.02007349776227016,0.6244078735381335,0.041723242399502675,0.03214805356076961,-0.4506422119707433,0.04454420209435102,12,0.8333333333333334,7.25,23.09163346613546,0.3466135458167331,2.0,0.5
4,2014-12-31,2021-01-01,2021-01-04,2021-12-31,1513,253,0.75,0.25,2021-01-04,2021-12-31,253,7857.537373923571,5890.282424242647,0.04569403019654921,0.04551342138154309,0.03533362703245663,1.7183477174066835,1.288104992440645,-0.023935168981581545,1.9015291438538127,14,0.8571428571428571,12.785714285714286,26.893280632411066,0.7075098814229249,2.0,0.5
5,2014-12-31,2022-01-01,2022-01-03,2022-12-30,1766,251,0.75,0.25,2022-01-03,2022-12-30,251,28890.515977748197,26148.338239280863,0.20284646321503144,0.20365461645493196,0.11444490983769587,1.964368123874988,1.7794991209635453,-0.04052570915600995,5.025319006039653,13,0.9230769230769231,13.846153846153847,25.099601593625497,0.7171314741035857,2.0,0.5
6,2014-12-31,2023-01-01,2023-01-03,2023-12-29,2017,251,0.75,0.25,2023-01-03,2023-12-29,251,731.5025435024722,-1081.1741227146194,-0.008387238412834088,-0.008420653705315499,0.039134057447896844,0.14580461149736956,-0.2151745628862219,-0.022273326612530564,-0.3780599930940802,5,0.4,37.4,10.0398406374502,0.7450199203187251,2.0,0.5
7,2014-12-31,2024-01-01,2024-01-02,2024-12-31,2268,252,1.25,0.25,2024-01-02,2024-12-31,252,6020.436069030196,4894.732574796523,0.037971024471809244,0.037971024471809244,0.027093399366503512,1.7237660442169735,1.4014861685741111,-0.011777013020620508,3.2241642600993425,6,1.0,16.666666666666668,11.0,0.3968253968253968,2.0,0.5
8,2014-12-31,2025-01-01,2025-01-02,2025-12-31,2520,251,0.5,0.25,2025-01-02,2025-12-31,251,7655.953005086636,5741.473795906007,0.044539643111689564,0.04471709188902697,0.03603709099990209,1.6527564105273524,1.2408629733501095,-0.012236775214418683,3.6543199581158023,13,0.9230769230769231,14.923076923076923,24.095617529880478,0.7729083665338645,2.0,0.5
9,2014-12-31,2026-01-01,2026-01-02,2026-06-30,2771,123,0.5,0.25,2026-01-02,2026-06-30,123,18882.377786076086,17414.677149558975,0.13509484371412256,0.27677967980454377,0.15618293313938966,1.924503840185199,1.772150607246724,-0.049692305301786366,5.569869985375663,9,0.7777777777777778,10.88888888888889,36.8780487804878,0.7967479674796748,2.0,0.5
