,sample_start,sample_end,n_sessions,total_pnl_usd,annualized_pnl_usd,annualized_vol_usd,sharpe,max_drawdown_usd
cl_bz_alone,2022-01-03,2026-06-30,1128,50792.524479269545,11347.266107070855,10149.926753161875,1.1179653196547443,-6652.984739378451
zq_sr3_alone,2022-01-03,2026-06-30,1128,168.31974547361713,37.60334739304213,39.8323572471074,0.9440402223690354,-27.06535432270337
combined_equal_risk,2022-01-03,2026-06-30,1128,93683.10906278998,20929.20521615521,14957.659590593648,1.3992299456605404,-6773.48843560442
