entry_z,exit_z,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
0.5,0.0,2018-05-04,2026-06-30,2052,321.26916478478165,299.6446570551306,1.355168302677681,0.16642417752182048,0.18700942985684305,0.9542450340508579,0.8899239875188076,-0.08767549325189794,1.8981835328108387,41,0.8048780487804879,39.0,9.947368421052632,0.7792397660818714,2.0,0.5
0.5,0.25,2018-05-04,2026-06-30,2052,320.95382173264534,299.95938820052027,1.356591700899726,0.16659898081224703,0.1869238176219973,0.9537407596783608,0.891266735998022,-0.08737529810092537,1.9067057215623122,48,0.8541666666666666,30.104166666666668,11.666666666666666,0.7041910331384016,2.0,0.5
0.75,0.0,2018-05-04,2026-06-30,2052,300.44703187755505,280.84924538702217,1.270164463868326,0.1559851095978646,0.18463498529458747,0.9038641784858837,0.8448296477993505,-0.08737755364970679,1.7851851314492375,34,0.7647058823529411,43.88235294117647,8.228070175438596,0.7270955165692008,2.0,0.5
0.75,0.25,2018-05-04,2026-06-30,2052,298.6845110339666,280.13825984818106,1.2669489716404023,0.15559022458741784,0.1845473086701924,0.8989815853818693,0.8430912686214014,-0.0872124985560584,1.7840358568262742,36,0.8055555555555556,36.69444444444444,8.719298245614034,0.6437621832358674,2.0,0.5
0.75,0.5,2018-05-04,2026-06-30,2052,329.31309127280076,311.32670525695903,1.4080013536289548,0.17291244693688917,0.18326158008545154,0.9980971232741153,0.9435280807699206,-0.08644883705877293,2.000170885113622,51,0.8627450980392157,23.725490196078432,12.403508771929825,0.5896686159844055,2.0,0.5
1.0,0.0,2018-05-04,2026-06-30,2052,330.9293521924884,312.4416128718618,1.4130436176058236,0.17353167233755729,0.17863637449755887,1.0289545853006825,0.9714240608926412,-0.08739962226095777,1.9854968230803844,31,0.7419354838709677,43.74193548387097,7.491228070175438,0.6608187134502924,2.0,0.5
1.0,0.25,2018-05-04,2026-06-30,2052,329.5835313489001,312.16370916761036,1.4117867746008472,0.1733773231965953,0.1785452245256557,1.0252812481232458,0.9710555051652036,-0.08723450296945812,1.987485654125832,33,0.7878787878787878,36.09090909090909,7.982456140350878,0.5804093567251462,2.0,0.5
1.0,0.5,2018-05-04,2026-06-30,2052,343.15700113517653,326.4140057014049,1.4762349458318895,0.18129201089163555,0.1765614066122244,1.079472539666345,1.026792968917612,-0.08948616169521828,2.025922304155805,39,0.8205128205128205,27.743589743589745,9.456140350877194,0.5272904483430799,2.0,0.5
1.0,0.75,2018-05-04,2026-06-30,2052,341.46361549802566,325.2814474539691,1.4711128553766648,0.18066298223923954,0.17245960884770706,1.0996786269918981,1.047566925649104,-0.08948616169521828,2.0188929641944107,45,0.8222222222222222,22.0,11.052631578947368,0.4824561403508772,2.0,0.5
1.25,0.0,2018-05-04,2026-06-30,2052,286.4302764541261,269.17124733448327,1.217349730059738,0.14949908965645906,0.17520381900618395,0.9080718942216388,0.8532867063313405,-0.09200607284975837,1.6248828476853272,24,0.7083333333333334,52.458333333333336,5.771929824561403,0.6135477582846004,2.0,0.5
1.25,0.25,2018-05-04,2026-06-30,2052,285.3969806105381,269.2011702247082,1.2174850588613788,0.14951570898297634,0.17511091689615382,0.9052670342637054,0.8538343104653136,-0.09182311838430424,1.6283013647741,26,0.7692307692307693,42.61538461538461,6.2631578947368425,0.5399610136452242,2.0,0.5
1.25,0.5,2018-05-04,2026-06-30,2052,283.6455461173424,268.9656863356375,1.2164200630580289,0.14938492002467021,0.17230810657010262,0.9143279535405211,0.8669639693585383,-0.09429058101806931,1.5843037386315706,29,0.7931034482758621,33.724137931034484,7.0,0.4766081871345029,2.0,0.5
1.25,0.75,2018-05-04,2026-06-30,2052,261.82271082425655,247.9180215416456,1.1212302190123369,0.13769493917695366,0.16467849016415162,0.8830803598578023,0.8361440467404047,-0.09429058101806931,1.460325492644558,32,0.84375,27.59375,7.859649122807017,0.43031189083820665,2.0,0.5
1.25,1.0,2018-05-04,2026-06-30,2052,297.77426510372703,286.53044464267157,1.2958581679647605,0.15914047676760215,0.16208139197276936,1.0203545672569991,0.9818553186804978,-0.09429058101806931,1.6877664242741848,39,0.8461538461538461,17.384615384615383,9.578947368421053,0.3304093567251462,2.0,0.5
1.5,0.0,2018-05-04,2026-06-30,2052,294.75836156261994,286.3657612729349,1.2951133734977454,0.15904901078042488,0.17291258599243292,0.9467460773001238,0.9198232151093112,-0.09200607284975837,1.7286794866263286,20,0.9,41.05,4.912280701754386,0.40009746588693956,2.0,0.5
1.5,0.25,2018-05-04,2026-06-30,2052,294.54578448441487,286.9882243952286,1.2979285156104345,0.15939472998724635,0.1728221157076675,0.9465500320501414,0.9223051652536537,-0.09182311838430424,1.7358888784427566,22,0.9090909090909091,31.0,5.4035087719298245,0.33235867446393763,2.0,0.5
1.5,0.5,2018-05-04,2026-06-30,2052,282.2052275980809,275.2912649049923,1.2450280270962788,0.15289817876620967,0.17074758486385905,0.917910455076951,0.8954632001859286,-0.09429058101806931,1.6215636505295172,23,0.9130434782608695,26.130434782608695,5.649122807017544,0.2928849902534113,2.0,0.5
1.5,0.75,2018-05-04,2026-06-30,2052,252.22020055628857,245.8354939307443,1.111811811771305,0.13653829267366904,0.1634722542178402,0.8568944571498216,0.8352383303635158,-0.09429058101806931,1.4480586629061456,23,0.9130434782608695,23.73913043478261,5.649122807017544,0.26608187134502925,2.0,0.5
1.5,1.0,2018-05-04,2026-06-30,2052,282.73361237380783,276.45229625290506,1.2502788895563994,0.1535430215244701,0.16105547846213555,0.9749284784239453,0.9533548500839628,-0.09429058101806931,1.6284025389030745,27,0.8888888888888888,18.22222222222222,6.631578947368421,0.23976608187134502,2.0,0.5
1.5,1.25,2018-05-04,2026-06-30,2052,277.4333686084266,271.1867013905318,1.2264647914764935,0.1506184831637799,0.1600873364001825,0.9624326458897844,0.9408519533816682,-0.0978452607455661,1.5393538942621219,29,0.8275862068965517,15.586206896551724,7.12280701754386,0.2202729044834308,2.0,0.5
1.75,0.0,2018-05-04,2026-06-30,2052,271.9147258024098,264.80133366237135,1.1975864259111366,0.14707201721715712,0.16604495488196505,0.9094994236478747,0.8857361388769983,-0.05442299954492824,2.702387197452129,18,0.8888888888888888,42.5,4.421052631578948,0.37280701754385964,2.0,0.5
1.75,0.25,2018-05-04,2026-06-30,2052,272.4327827502733,265.9525476793557,1.2027928886618753,0.14771140737952854,0.16595951787659924,0.9116946592324808,0.8900448089356391,-0.054314801586535344,2.71954242793637,20,0.9,31.6,4.912280701754386,0.3079922027290448,2.0,0.5
1.75,0.5,2018-05-04,2026-06-30,2052,261.74925561053647,255.69499900029842,1.1564022572731962,0.1420143122967083,0.1646295660919519,0.8830185842951347,0.8626294514886097,-0.05576834577668466,2.5465039408804,20,0.9,28.0,4.912280701754386,0.2729044834307992,2.0,0.5
1.75,0.75,2018-05-04,2026-06-30,2052,232.28510356874426,226.58421718084654,1.0247462845767479,0.12584603494802166,0.15706715521859374,0.8213562997711651,0.8012243856640747,-0.05576834577668466,2.2565854015457405,20,0.9,25.7,4.912280701754386,0.25048732943469787,2.0,0.5
1.75,1.0,2018-05-04,2026-06-30,2052,261.88066675122434,256.2866148287434,1.1590778898906784,0.14234289875850437,0.1545465099541428,0.9410592205550082,0.9210359962236644,-0.05576834577668466,2.5523959295564107,23,0.8695652173913043,19.52173913043478,5.649122807017544,0.21881091617933723,2.0,0.5
1.75,1.25,2018-05-04,2026-06-30,2052,262.9125535687449,257.3966969139015,1.1640983300011787,0.14295944403523247,0.1533015683639093,0.9524255121644044,0.932537387327137,-0.05787032731738295,2.4703410307529166,25,0.88,16.56,6.140350877192983,0.20175438596491227,2.0,0.5
