pair,eg_p_from_2015,eg_p_from_2018,eg_p_from_2022,eg_p_from_2023
ZQ/SR3,0.00032724462768027573,0.00032724462768027573,0.013067307625786116,0.22994419595239984
ZT/ZF,0.38079629104054435,0.5034503562914795,0.7350008956864482,0.6992683972946678
ZF/ZN,0.360178909872815,0.5747207869419472,0.5825720736242677,0.6790844497727015
ZN/ZB,0.04629986346156488,0.5029934324965918,0.31507279981908387,0.4880194551587992
CL/HO,0.015293069818517316,0.007409311936744875,0.1945347415096847,0.479999945918679
CL/BZ,4.507102287867764e-05,0.000268561785181655,0.008669072985352796,0.019189876793704132
