fold_id,train_start,train_end,test_start,test_end,n_train_sessions,n_test_sessions,fold_alpha,fold_beta,selected_entry_z,selected_exit_z,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
0,2018-05-04,2021-01-01,2021-01-04,2021-12-31,670,253,0.03133318701236175,0.9574437628618394,0.75,0.5,2021-01-04,2021-12-31,253,3.1762254479518814,3.104254899738862,0.014039255312948884,0.013983764185229718,0.010875317659819495,1.3156293487352095,1.2858258142559689,-0.007200773255165216,1.9419809081196895,14,0.9285714285714286,12.142857142857142,27.889328063241106,0.6719367588932806,2.0,0.5
1,2018-05-04,2022-01-01,2022-01-03,2022-12-30,923,251,0.03448978342200181,0.9559297012021155,0.75,0.5,2022-01-03,2022-12-30,251,182.58684727928213,180.9038411922067,0.8181529209486631,0.8214124943388968,0.3891437850710677,2.130345929263374,2.1108200255308858,-0.08199413479389084,10.017942093098323,12,1.0,15.333333333333334,23.09163346613546,0.7330677290836654,2.0,0.5
2,2018-05-04,2023-01-01,2023-01-03,2023-12-29,1174,251,0.020675906391253968,1.0132977250114652,1.0,0.75,2023-01-03,2023-12-29,251,30.25425043013314,26.371520266159347,0.1192674306605305,0.11974259970698681,0.08957477282540828,1.5327679095212452,1.336789320586714,-0.03221745020451838,3.716700078586397,6,0.8333333333333334,23.666666666666668,11.04382470119522,0.5657370517928287,2.0,0.5
3,2018-05-04,2024-01-01,2024-01-02,2024-12-31,1425,252,0.021923521817232228,1.0147249204942084,1.0,0.75,2024-01-02,2024-12-31,252,11.930178357891657,7.843486354287617,0.03547283036606878,0.03547283036606878,0.09566261163637003,0.5640082980744954,0.3708118538610162,-0.07869025162492038,0.45079065873561025,8,0.5,16.0,15.0,0.5079365079365079,2.0,0.5
4,2018-05-04,2025-01-01,2025-01-02,2025-12-31,1677,251,0.04010179037521133,0.9945210484771666,1.0,0.75,2025-01-02,2025-12-31,251,-0.5525432064243194,-4.197475274568271,-0.018983436912481468,-0.01905906813524036,0.08071198823158805,-0.031086529895376826,-0.23613676918172183,-0.08042326479667206,-0.23698451167614162,3,0.3333333333333333,60.666666666666664,6.0239043824701195,0.7250996015936255,2.0,0.5
5,2018-05-04,2026-01-01,2026-01-02,2026-06-30,1928,124,0.0415469753058949,0.9875951613629238,1.0,0.75,2026-01-02,2026-06-30,124,5.05029948926996,3.2431370450946564,0.014667361560674901,0.02980786381685544,0.04310449845499106,1.0769465416659556,0.6915255921137856,-0.016132119247312393,1.8477339126923094,2,0.5,51.5,8.129032258064516,0.8306451612903226,2.0,0.5
