pair,n_obs,start,beta,r_squared,change_corr,eg_pvalue,adf_pvalue,half_life_days,spread_std,leg_stale_frac,beta_min,beta_max
ZQ/SR3,2052,2018-05-04,0.9864744317868187,0.9890102172525447,0.012142299537537652,0.00032724462768027573,4.658447820605225e-05,12.36055384271645,0.20328076591077826,0.47953216374269003,-0.4607959860530897,2.4047048571618346
ZT/ZF,2895,2014-12-31,0.45798400431103237,0.9656676701300817,0.9087868192599783,0.39526564977427214,0.18598019721804182,144.61169027337314,0.5482397822074253,0.04455958549222798,0.01235186800809518,0.5609583065744352
ZF/ZN,2895,2014-12-31,0.6828920028274731,0.9840497734481918,0.9388805815450629,0.3592787760750429,0.1629824417045399,94.54688927953535,0.8017996676412118,0.01934369602763385,0.19272706854386767,0.8712436728726255
ZN/ZB,2895,2014-12-31,0.45047969696899826,0.9581819854529565,0.8660557100939736,0.048860776118563806,0.012966464123971696,85.49988437907491,1.885908659129579,0.01934369602763385,0.07079662444697885,0.6200267715766077
CL/HO,2894,2014-12-31,23.02914292399188,0.8829259114504721,0.5260319086115811,0.016327883245193287,0.0036454216247045314,14.23352851496545,6.114643654113028,0.005874222529371113,8.745202017317126,45.67208454383781
CL/BZ,2894,2014-12-31,0.9747216920484187,0.9765731247381648,0.7039699435635389,4.362186497385634e-05,5.376750133925594e-06,4.106928454391605,2.735255767201381,0.005874222529371113,0.7411925346712378,1.138082787465157
