,value
config_window,126
config_min_periods,
config_entry_z,1.5
config_exit_z,0.5
config_lag_rolling_stats,True
sample_start,2014-12-31
sample_end,2026-06-30
n_sessions,2894
n_scored_sessions,2768
n_entries,67
n_long_entries,34
n_short_entries,33
n_exits,67
pct_time_in_market,0.3645473393227367
mean_abs_entry_zscore,1.926148361716735
final_target_position,0
