,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
baseline (no regime scaling),2014-12-31,2026-06-30,2894,85191.61140104191,74344.42627322914,0.576728960413277,0.05021966068560671,0.19028400814141982,0.30240078387533637,0.26391950209648335,-0.41451186954742314,0.12115373376506224,67,0.9104477611940298,15.746268656716419,11.668279198341397,0.3645473393227367,2.0,0.5
vol-regime scaled,2014-12-31,2026-06-30,2894,64019.41694584029,54837.69064454841,0.4254049146961236,0.0370428605747834,0.09940275219174421,0.43493264869799647,0.3726542752390708,-0.21994958708713852,0.16841523125982474,67,0.9104477611940298,15.746268656716419,10.27505183137526,0.3645473393227367,2.0,0.5
vol-regime + trend gate (exploratory),2014-12-31,2026-06-30,2894,36189.9361878198,28786.65666953716,0.22331329202515324,0.019445386866046514,0.05122190363837021,0.47713809397501783,0.37963030431926426,-0.11582646717493417,0.1678837949592117,67,0.8507462686567164,15.746268656716419,11.53766413268832,0.3645473393227367,2.0,0.5
