entry_z,exit_z,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
0.5,0.0,2014-12-31,2026-06-30,2894,103268.4230280864,82108.6381972767,0.6369600509718003,0.0554643859173786,0.19323106865177167,0.3610192340411665,0.2870365842530886,-0.3999175849794516,0.1386895400466785,114,0.868421052631579,20.289473684210527,19.766413268832068,0.7992398064961991,2.0,0.5
0.5,0.25,2014-12-31,2026-06-30,2894,109744.12507686249,88021.75976429656,0.6828312564554682,0.059458699594601934,0.19269813210998832,0.3847136650211031,0.30855877503090734,-0.3893794120779944,0.15270119002257904,152,0.875,13.730263157894736,26.384243261921217,0.721147201105736,2.0,0.5
0.75,0.0,2014-12-31,2026-06-30,2894,105686.11291237024,87001.48044390687,0.6749164111701345,0.058769500903550057,0.19275443453203925,0.3703707762677179,0.30489311981967154,-0.39362920432089277,0.14930167847922235,95,0.8842105263157894,21.57894736842105,16.45749827228749,0.7083621285418107,2.0,0.5
0.75,0.25,2014-12-31,2026-06-30,2894,108530.50063487684,90064.42480823971,0.69867728750743,0.060838519852063705,0.19224255007414792,0.3813508849811971,0.31646750331078266,-0.3861564651375343,0.1575488832755793,116,0.8793103448275862,16.0,20.1147201105736,0.6413268832066344,2.0,0.5
0.75,0.5,2014-12-31,2026-06-30,2894,106239.73306194568,87364.09977774005,0.6777294407664456,0.059014450267154205,0.19179614666785505,0.374159728962382,0.307693617898138,-0.38801651779219326,0.15209262379587685,149,0.8859060402684564,11.020134228187919,25.861782999308915,0.5673807878369039,2.0,0.5
1.0,0.0,2014-12-31,2026-06-30,2894,95863.561702908,79724.95523001843,0.6184685638681231,0.05385420804933208,0.19209689650258852,0.33709643688302643,0.2803491833019093,-0.4154462466219502,0.12962978601257794,74,0.8783783783783784,24.324324324324323,12.800276434001383,0.6219765031098825,2.0,0.5
1.0,0.25,2014-12-31,2026-06-30,2894,100498.02568059474,84910.19110114255,0.658693175763849,0.05735683493175188,0.19158311363797143,0.3543389643686605,0.2993835617482305,-0.3982810237104205,0.14401096591901527,87,0.8850574712643678,18.50574712643678,15.064270905321354,0.5563234277816171,2.0,0.5
1.0,0.5,2014-12-31,2026-06-30,2894,94486.2494409868,79788.66422402867,0.618962788166115,0.05389724347541845,0.19116464405129735,0.3338638493936621,0.28194148422631754,-0.4004435904996585,0.1345938473085997,100,0.89,13.74,17.41534208707671,0.474775397373877,2.0,0.5
1.0,0.75,2014-12-31,2026-06-30,2894,98160.6556108782,83024.8430428253,0.6440675356157315,0.05608328229964213,0.19086830014000014,0.3473795628251927,0.29383235591507634,-0.39555737571392635,0.14178292642987522,128,0.90625,9.4921875,22.29163787145819,0.4198341395991707,2.0,0.5
1.25,0.0,2014-12-31,2026-06-30,2894,93203.74498885871,78593.0285931766,0.609687611411369,0.05308959159490843,0.19176276533382883,0.3283094373003424,0.2768503650981867,-0.41959918902702387,0.12652453337198716,63,0.8888888888888888,26.238095238095237,10.884588804422943,0.5711817553559088,2.0,0.5
1.25,0.25,2014-12-31,2026-06-30,2894,99026.13811780632,85560.75233308299,0.6637399226659404,0.05779628905038597,0.19112458221021242,0.34998194656267334,0.3024011269613529,-0.4018834315275679,0.14381356511937052,73,0.9178082191780822,18.958904109589042,12.626123013130615,0.4782308223911541,2.0,0.5
1.25,0.5,2014-12-31,2026-06-30,2894,89193.30891982859,76612.3763117654,0.5943226460943954,0.05175166095915261,0.19065167471350072,0.31600266647487923,0.27144613881268936,-0.41132518662469864,0.125816902640518,80,0.925,14.9125,13.932273669661368,0.412232204561161,2.0,0.5
1.25,0.75,2014-12-31,2026-06-30,2894,87192.99586331267,75148.18720589175,0.5829641582667339,0.050762601203599496,0.19031865489205443,0.30945624021035834,0.26672425376477776,-0.41691262068743584,0.12175837018293768,90,0.9111111111111111,11.488888888888889,15.67380787836904,0.35729094678645473,2.0,0.5
1.25,1.0,2014-12-31,2026-06-30,2894,83998.38796008604,71867.99932458687,0.5575180092872183,0.04854683425721458,0.19008003072244736,0.29849336894177597,0.2554020749717897,-0.40996664457766496,0.11841654656374798,108,0.9074074074074074,8.435185185185185,18.808569454042846,0.3147892190739461,2.0,0.5
1.5,0.0,2014-12-31,2026-06-30,2894,89075.86935298305,75988.3062231778,0.5894814049757487,0.05133010160811634,0.19135994523560532,0.3144207784921631,0.2682384839989264,-0.4235293392522179,0.12119609399137403,54,0.8888888888888888,28.01851851851852,9.404284727021423,0.5228058051140291,2.0,0.5
1.5,0.25,2014-12-31,2026-06-30,2894,94860.29397025917,82868.2728585549,0.642852938044232,0.05597751913861316,0.19074054369758478,0.3359241392638266,0.293474675354624,-0.4079775821250189,0.13720734077359095,62,0.9193548387096774,20.338709677419356,10.79751209398756,0.43572909467864546,2.0,0.5
1.5,0.5,2014-12-31,2026-06-30,2894,85191.61140104191,74344.42627322914,0.576728960413277,0.05021966068560671,0.19028400814141982,0.30240078387533637,0.26391950209648335,-0.41451186954742314,0.12115373376506224,67,0.9104477611940298,15.746268656716419,11.668279198341397,0.3645473393227367,2.0,0.5
1.5,0.75,2014-12-31,2026-06-30,2894,88156.35400611625,77894.99026026165,0.6042725595742466,0.05261806669409473,0.19003340402051877,0.3133336035857158,0.27688851318167895,-0.4158576548870997,0.1265290324122563,75,0.92,12.066666666666666,13.061506565307532,0.3127159640635798,2.0,0.5
1.5,1.0,2014-12-31,2026-06-30,2894,85356.13629103731,75733.51240815045,0.5875048348490199,0.05115798838353594,0.18977625056689582,0.30379298972718327,0.26957002380813105,-0.4106665523890398,0.12457305832658137,82,0.9146341463414634,9.329268292682928,14.280580511402903,0.2643400138217001,2.0,0.5
1.5,1.25,2014-12-31,2026-06-30,2894,80464.46708219998,70674.94419071882,0.5482628508098004,0.04774092550244288,0.18932405282983297,0.2870662160364527,0.25216513585494116,-0.41629229220861574,0.11468126217075998,98,0.9081632653061225,6.755102040816326,17.067035245335177,0.22874913614374567,2.0,0.5
