,sample_start,sample_end,n_sessions,total_gross_pnl_usd,total_net_pnl_usd,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe_gross,sharpe_net,max_drawdown_pct,calmar_net,n_round_trip_trades,hit_rate,avg_holding_sessions,annualized_turnover,pct_time_in_market,cost_transaction_bps,cost_financing_bps_per_day
baseline_default,2018-04-27,2026-06-30,1639,184.18388552388487,178.57566108477857,0.7413708117858891,0.11398745855402322,0.13945874622082907,0.8429349934610733,0.8173561117029351,-0.06266205975197092,1.8190825358312284,15,0.8666666666666667,32.6,4.612568639414277,0.29835265405735206,2.0,0.5
best_insample,2018-04-27,2026-06-30,1639,228.94129495902763,214.39423419477941,0.8900744170939309,0.1368509781010803,0.14077173432367915,1.0380938576747665,0.9721481287316974,-0.06270784594077261,2.182358141122176,35,0.7714285714285715,24.228571428571428,10.762660158633313,0.5173886516168396,2.0,0.5
walkforward_oos_beta_refit,2022-01-03,2026-06-30,1129,183.40523805948405,168.3031596658407,0.698723719400695,0.15595959015852537,0.16529414643999657,1.028322181636789,0.9435276052872223,-0.0656777181814916,2.3746194977047144,23,0.6956521739130435,31.608695652173914,10.490699734278122,0.6439326837909655,2.0,0.5
